Region,Country/Area,Year,Series,Value,Footnotes,Source
3,North America,2017,Total supply (petajoules),"113,953",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2018,Total supply (petajoules),"117,019",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2019,Total supply (petajoules),"116,720",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,1995,Supply per capita (gigajoules),228,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2000,Supply per capita (gigajoules),236,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2005,Supply per capita (gigajoules),232,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2010,Supply per capita (gigajoules),212,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2015,Supply per capita (gigajoules),202,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2017,Supply per capita (gigajoules),197,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2018,Supply per capita (gigajoules),201,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
3,North America,2019,Supply per capita (gigajoules),199,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,1995,Primary energy production (petajoules),"20,328",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2000,Primary energy production (petajoules),"24,052",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2005,Primary energy production (petajoules),"26,627",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2010,Primary energy production (petajoules),"29,338",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2015,Primary energy production (petajoules),"32,046",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2017,Primary energy production (petajoules),"31,101",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2018,Primary energy production (petajoules),"29,714",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2019,Primary energy production (petajoules),"29,056",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,751",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,317",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,091",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,297",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,538",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2017,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,670",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2018,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,671",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
5,South America,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-5,768",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2019, last accessed March 2022."
