T10,Public Expenditure on Education (2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
578,Norway,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2005,All staff compensation as % of total expenditure in public institutions (%),66.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2005,Capital expenditure as % of total expenditure in public institutions (%),10.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2005,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2005,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2005,Public expenditure on education (% of GDP),6.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2010,All staff compensation as % of total expenditure in public institutions (%),67.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2010,Capital expenditure as % of total expenditure in public institutions (%),11.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2010,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2010,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2010,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2010,Public expenditure on education (% of GDP),6.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2015,All staff compensation as % of total expenditure in public institutions (%),69.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2015,Capital expenditure as % of total expenditure in public institutions (%),12.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2015,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2015,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2015,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2015,Public expenditure on education (% of GDP),7.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2018,All staff compensation as % of total expenditure in public institutions (%),69.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2018,Capital expenditure as % of total expenditure in public institutions (%),12.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2018,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2018,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2018,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2018,Public expenditure on education (% of GDP),7.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2019,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2019,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2019,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2020,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
578,Norway,2020,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
512,Oman,2005,Public expenditure on education (% of GDP),3.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
512,Oman,2009,Public expenditure on education (% of GDP),4.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
512,Oman,2011,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed May 2022."
